id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;Sul;2001-09-30;6430.78680556
SE;Sudeste/Centro-Oeste;2001-09-30;20646.84029167
N;Norte;2001-10-31;2095.13995968
NE;Nordeste;2001-10-31;4888.57293011
S;Sul;2001-10-31;6615.64412634
SE;Sudeste/Centro-Oeste;2001-10-31;20952.31772715
N;Norte;2001-11-30;2058.80733333
NE;Nordeste;2001-11-30;4961.08752778
S;Sul;2001-11-30;6753.23633333
SE;Sudeste/Centro-Oeste;2001-11-30;21504.02511111
N;Norte;2001-12-31;2027.05766129
NE;Nordeste;2001-12-31;4981.31813172
S;Sul;2001-12-31;6604.43801075
SE;Sudeste/Centro-Oeste;2001-12-31;21349.00794355
N;Norte;2002-01-31;2169.83467742
NE;Nordeste;2002-01-31;4918.06663978
S;Sul;2002-01-31;6691.20560476
SE;Sudeste/Centro-Oeste;2002-01-31;22719.87901889
N;Norte;2002-02-28;2179.53020833
NE;Nordeste;2002-02-28;5247.67956845
S;Sul;2002-02-28;6813.44180107
SE;Sudeste/Centro-Oeste;2002-02-28;23452.70220191
N;Norte;2002-03-31;2306.49932796
NE;Nordeste;2002-03-31;5378.06142473
S;Sul;2002-03-31;7129.6780109
SE;Sudeste/Centro-Oeste;2002-03-31;25133.20122297
N;Norte;2002-04-30;2495.56513889
NE;Nordeste;2002-04-30;5567.2677125
S;Sul;2002-04-30;6905.07129149
SE;Sudeste/Centro-Oeste;2002-04-30;25772.85000018
N;Norte;2002-05-31;2282.07983871
NE;Nordeste;2002-05-31;5512.95323522
S;Sul;2002-05-31;6579.32120976
SE;Sudeste/Centro-Oeste;2002-05-31;24774.47123648
N;Norte;2002-06-30;2297.1575
NE;Nordeste;2002-06-30;5424.85994178
S;Sul;2002-06-30;6527.41726437
SE;Sudeste/Centro-Oeste;2002-06-30;24626.89848563
N;Norte;2002-07-31;2369.90497312
NE;Nordeste;2002-07-31;5557.56037634
S;Sul;2002-07-31;6502.23667174
SE;Sudeste/Centro-Oeste;2002-07-31;24237.84665085
N;Norte;2002-08-31;2439.60900538
NE;Nordeste;2002-08-31;5667.05087366
S;Sul;2002-08-31;6567.43080619
SE;Sudeste/Centro-Oeste;2002-08-31;25149.89240725
N;Norte;2002-09-30;2347.17861111
NE;Nordeste;2002-09-30;5847.86726389
S;Sul;2002-09-30;6394.49859691
SE;Sudeste/Centro-Oeste;2002-09-30;24970.46791698
N;Norte;2002-10-31;2267.89946237
NE;Nordeste;2002-10-31;6085.97983719
S;Sul;2002-10-31;6806.03616927
SE;Sudeste/Centro-Oeste;2002-10-31;27126.00813181
N;Norte;2002-11-30;2313.47527778
NE;Nordeste;2002-11-30;6180.76838889
S;Sul;2002-11-30;6741.83263847
SE;Sudeste/Centro-Oeste;2002-11-30;26383.89659765
N;Norte;2002-12-31;2588.39018817
NE;Nordeste;2002-12-31;6100.10755376
S;Sul;2002-12-31;6650.01133095
SE;Sudeste/Centro-Oeste;2002-12-31;25636.16088679
N;Norte;2003-01-31;2611.26397849
NE;Nordeste;2003-01-31;6152.36784946
S;Sul;2003-01-31;7029.96420766
SE;Sudeste/Centro-Oeste;2003-01-31;25693.74368213
N;Norte;2003-02-28;2682.50654762
NE;Nordeste;2003-02-28;5958.59677083
S;Sul;2003-02-28;7360.90284176
SE;Sudeste/Centro-Oeste;2003-02-28;27507.62498562
N;Norte;2003-03-31;2712.74206989
NE;Nordeste;2003-03-31;5833.33829301
S;Sul;2003-03-31;7080.4280778
SE;Sudeste/Centro-Oeste;2003-03-31;26389.86064531
N;Norte;2003-04-30;2774.44716667
NE;Nordeste;2003-04-30;5987.99348611
S;Sul;2003-04-30;6804.04554153
SE;Sudeste/Centro-Oeste;2003-04-30;26235.74610292
N;Norte;2003-05-31;2846.96680108
NE;Nordeste;2003-05-31;5919.62044355
S;Sul;2003-05-31;6597.38999043
SE;Sudeste/Centro-Oeste;2003-05-31;25354.74973135
N;Norte;2003-06-30;2862.7925
NE;Nordeste;2003-06-30;5734.50225972
S;Sul;2003-06-30;6572.19553016
SE;Sudeste/Centro-Oeste;2003-06-30;25326.08679207
N;Norte;2003-07-31;2745.87197581
NE;Nordeste;2003-07-31;5783.52776882
S;Sul;2003-07-31;6656.89513437
SE;Sudeste/Centro-Oeste;2003-07-31;25308.79012101
N;Norte;2003-08-31;2610.08233871
NE;Nordeste;2003-08-31;5922.7265457
S;Sul;2003-08-31;6566.81908592
SE;Sudeste/Centro-Oeste;2003-08-31;25465.21360225
N;Norte;2003-09-30;2666.06723611
NE;Nordeste;2003-09-30;6153.35251389
S;Sul;2003-09-30;6773.09297259
SE;Sudeste/Centro-Oeste;2003-09-30;26242.62583297
N;Norte;2003-10-31;2683.47912634
NE;Nordeste;2003-10-31;6325.03022849
S;Sul;2003-10-31;6876.26409955
SE;Sudeste/Centro-Oeste;2003-10-31;26829.76115583
N;Norte;2003-11-30;2872.80090278
NE;Nordeste;2003-11-30;6312.73034722
S;Sul;2003-11-30;6945.77158373
SE;Sudeste/Centro-Oeste;2003-11-30;26804.53481211
N;Norte;2003-12-31;2829.30221774
NE;Nordeste;2003-12-31;6388.41694892
S;Sul;2003-12-31;6831.29106176
SE;Sudeste/Centro-Oeste;2003-12-31;26662.93697588
N;Norte;2004-01-31;2866.96801075
NE;Nordeste;2004-01-31;5975.1364086
S;Sul;2004-01-31;7205.91853547
SE;Sudeste/Centro-Oeste;2004-01-31;26275.93167958
N;Norte;2004-02-29;2846.25704023
NE;Nordeste;2004-02-29;5939.70156609
S;Sul;2004-02-29;7395.32780161
SE;Sudeste/Centro-Oeste;2004-02-29;26801.95109207
N;Norte;2004-03-31;2922.58400538
NE;Nordeste;2004-03-31;6199.61946237
S;Sul;2004-03-31;7639.80193573
SE;Sudeste/Centro-Oeste;2004-03-31;27520.84330676
N;Norte;2004-04-30;2924.74069444
NE;Nordeste;2004-04-30;6209.76804167
S;Sul;2004-04-30;7421.00154118
SE;Sudeste/Centro-Oeste;2004-04-30;27323.33718104
N;Norte;2004-05-31;2988.82715054
NE;Nordeste;2004-05-31;6168.84356183
S;Sul;2004-05-31;6961.25365605
SE;Sudeste/Centro-Oeste;2004-05-31;26606.2961289
N;Norte;2004-06-30;2997.59972222
NE;Nordeste;2004-06-30;5999.99530556
S;Sul;2004-06-30;7053.37686169
SE;Sudeste/Centro-Oeste;2004-06-30;26579.44844942
N;Norte;2004-07-31;2991.4813172
NE;Nordeste;2004-07-31;6037.20327957
S;Sul;2004-07-31;7071.6959947
SE;Sudeste/Centro-Oeste;2004-07-31;26657.82241229
N;Norte;2004-08-31;3014.82056452
NE;Nordeste;2004-08-31;6221.52272849
S;Sul;2004-08-31;7112.18946233
SE;Sudeste/Centro-Oeste;2004-08-31;27178.62867073
N;Norte;2004-09-30;3042.84194444
NE;Nordeste;2004-09-30;6442.20233333
S;Sul;2004-09-30;7229.7521387
SE;Sudeste/Centro-Oeste;2004-09-30;28426.38831408
N;Norte;2004-10-31;3033.28682796
NE;Nordeste;2004-10-31;6598.93162634
S;Sul;2004-10-31;7058.34776842
SE;Sudeste/Centro-Oeste;2004-10-31;27771.49564556
N;Norte;2004-11-30;3022.34955556
NE;Nordeste;2004-11-30;6695.90154167
S;Sul;2004-11-30;7241.64043084
SE;Sudeste/Centro-Oeste;2004-11-30;28156.10778028
N;Norte;2004-12-31;3022.02110215
NE;Nordeste;2004-12-31;6734.77784946
S;Sul;2004-12-31;7451.36658613
SE;Sudeste/Centro-Oeste;2004-12-31;27695.44342731
N;Norte;2005-01-31;2982.24973118
NE;Nordeste;2005-01-31;6701.01983871
S;Sul;2005-01-31;7812.90592756
SE;Sudeste/Centro-Oeste;2005-01-31;27829.38264771
N;Norte;2005-02-28;2991.0452381
NE;Nordeste;2005-02-28;6666.21556548
S;Sul;2005-02-28;8037.17468726
SE;Sudeste/Centro-Oeste;2005-02-28;28324.55217286
N;Norte;2005-03-31;3041.24119624
NE;Nordeste;2005-03-31;6774.0528629
S;Sul;2005-03-31;8175.20657197
SE;Sudeste/Centro-Oeste;2005-03-31;29329.8892076
N;Norte;2005-04-30;3043.09543056
NE;Nordeste;2005-04-30;6731.55873611
S;Sul;2005-04-30;7701.98627789
SE;Sudeste/Centro-Oeste;2005-04-30;29611.05501377
N;Norte;2005-05-31;3112.12998656
NE;Nordeste;2005-05-31;6551.2928629
S;Sul;2005-05-31;7313.97517425
SE;Sudeste/Centro-Oeste;2005-05-31;27852.86724511
N;Norte;2005-06-30;3126.65827778
NE;Nordeste;2005-06-30;6391.426
S;Sul;2005-06-30;7396.1464306
SE;Sudeste/Centro-Oeste;2005-06-30;27921.09989718
N;Norte;2005-07-31;3026.74646505
NE;Nordeste;2005-07-31;6409.12744624
S;Sul;2005-07-31;7124.24268819
SE;Sudeste/Centro-Oeste;2005-07-31;27217.23512095
N;Norte;2005-08-31;3134.20670699
NE;Nordeste;2005-08-31;6571.48909946
S;Sul;2005-08-31;7288.74893676
SE;Sudeste/Centro-Oeste;2005-08-31;28499.19848932
N;Norte;2005-09-30;3169.67902778
NE;Nordeste;2005-09-30;6797.34518056
S;Sul;2005-09-30;7199.52711389
SE;Sudeste/Centro-Oeste;2005-09-30;28242.86740972
N;Norte;2005-10-31;3160.95269892
NE;Nordeste;2005-10-31;6885.0606922
S;Sul;2005-10-31;7321.89803091
SE;Sudeste/Centro-Oeste;2005-10-31;28991.801
N;Norte;2005-11-30;3207.02204306
NE;Nordeste;2005-11-30;6968.12548333
S;Sul;2005-11-30;7615.22580556
SE;Sudeste/Centro-Oeste;2005-11-30;28312.46225833
N;Norte;2005-12-31;3215.38599462
NE;Nordeste;2005-12-31;6884.5506586
S;Sul;2005-12-31;7724.79459677
SE;Sudeste/Centro-Oeste;2005-12-31;28163.79838172
N;Norte;2006-01-31;3241.99775538
NE;Nordeste;2006-01-31;6932.53110215
S;Sul;2006-01-31;8115.45401882
SE;Sudeste/Centro-Oeste;2006-01-31;29410.09740591
N;Norte;2006-02-28;3285.10589286
NE;Nordeste;2006-02-28;7020.88270833
S;Sul;2006-02-28;8280.37275298
SE;Sudeste/Centro-Oeste;2006-02-28;30149.90831548
N;Norte;2006-03-31;3305.50360215
NE;Nordeste;2006-03-31;6984.02620968
S;Sul;2006-03-31;8410.2830914
SE;Sudeste/Centro-Oeste;2006-03-31;30646.27965054
N;Norte;2006-04-30;3262.09315278
NE;Nordeste;2006-04-30;6718.55509722
S;Sul;2006-04-30;7658.64341667
SE;Sudeste/Centro-Oeste;2006-04-30;28994.79536111
N;Norte;2006-05-31;3351.24337366
NE;Nordeste;2006-05-31;6643.10471774
S;Sul;2006-05-31;7663.54044197
SE;Sudeste/Centro-Oeste;2006-05-31;28369.73352151
N;Norte;2006-06-30;3396.61101389
NE;Nordeste;2006-06-30;6526.42406944
S;Sul;2006-06-30;7682.023625
SE;Sudeste/Centro-Oeste;2006-06-30;28456.18194444
N;Norte;2006-07-31;3324.30041667
NE;Nordeste;2006-07-31;6544.46450806
S;Sul;2006-07-31;7612.42004032
SE;Sudeste/Centro-Oeste;2006-07-31;28707.0993629
N;Norte;2006-08-31;3437.60002688
NE;Nordeste;2006-08-31;6829.50091398
S;Sul;2006-08-31;7741.26487903
SE;Sudeste/Centro-Oeste;2006-08-31;29679.7881586
N;Norte;2006-09-30;3412.26218056
NE;Nordeste;2006-09-30;7018.9774625
S;Sul;2006-09-30;7499.72676389
SE;Sudeste/Centro-Oeste;2006-09-30;29081.09865417
N;Norte;2006-10-31;3420.35197984
NE;Nordeste;2006-10-31;7196.41282796
S;Sul;2006-10-31;7762.99086022
SE;Sudeste/Centro-Oeste;2006-10-31;29255.40004704
N;Norte;2006-11-30;3389.90952778
NE;Nordeste;2006-11-30;7228.42976389
S;Sul;2006-11-30;7820.44427778
SE;Sudeste/Centro-Oeste;2006-11-30;29796.29875
N;Norte;2006-12-31;3401.54284005
NE;Nordeste;2006-12-31;7279.08992204
S;Sul;2006-12-31;7980.37952957
SE;Sudeste/Centro-Oeste;2006-12-31;29725.43664651
N;Norte;2007-01-31;3420.17568548
NE;Nordeste;2007-01-31;7439.26264785
S;Sul;2007-01-31;8349.92896505
SE;Sudeste/Centro-Oeste;2007-01-31;29960.04143817
N;Norte;2007-02-28;3313.0496131
NE;Nordeste;2007-02-28;7080.92162202
S;Sul;2007-02-28;8529.34017857
SE;Sudeste/Centro-Oeste;2007-02-28;30970.75052083
N;Norte;2007-03-31;3390.0175793
NE;Nordeste;2007-03-31;7157.69465188
S;Sul;2007-03-31;8767.4818414
SE;Sudeste/Centro-Oeste;2007-03-31;32676.08855645
N;Norte;2007-04-30;3481.11723611
NE;Nordeste;2007-04-30;7124.76448611
S;Sul;2007-04-30;8177.31563889
SE;Sudeste/Centro-Oeste;2007-04-30;31350.05961111
N;Norte;2007-05-31;3537.50020161
NE;Nordeste;2007-05-31;7052.03866935
S;Sul;2007-05-31;7919.7883871
SE;Sudeste/Centro-Oeste;2007-05-31;29881.48794355
N;Norte;2007-06-30;3457.95426389
NE;Nordeste;2007-06-30;6953.365875
S;Sul;2007-06-30;7838.01492361
SE;Sudeste/Centro-Oeste;2007-06-30;29542.48468056
N;Norte;2007-07-31;3434.06185484
NE;Nordeste;2007-07-31;7028.22764785
S;Sul;2007-07-31;7910.57284005
SE;Sudeste/Centro-Oeste;2007-07-31;29573.75717742
N;Norte;2007-08-31;3526.16393817
NE;Nordeste;2007-08-31;7056.6763172
S;Sul;2007-08-31;8035.0199328
SE;Sudeste/Centro-Oeste;2007-08-31;30566.27726344
N;Norte;2007-09-30;3552.60570833
NE;Nordeste;2007-09-30;7248.92220833
S;Sul;2007-09-30;7889.6773875
SE;Sudeste/Centro-Oeste;2007-09-30;31166.00001111
N;Norte;2007-10-31;3562.31274194
NE;Nordeste;2007-10-31;7540.22711022
S;Sul;2007-10-31;8143.1592957
SE;Sudeste/Centro-Oeste;2007-10-31;31967.14805108
N;Norte;2007-11-30;3533.28680556
NE;Nordeste;2007-11-30;7695.36644444
S;Sul;2007-11-30;8097.93776389
SE;Sudeste/Centro-Oeste;2007-11-30;31251.06023611
N;Norte;2007-12-31;3495.22405914
NE;Nordeste;2007-12-31;7494.32387097
S;Sul;2007-12-31;8353.20455645
SE;Sudeste/Centro-Oeste;2007-12-31;31206.31552419
N;Norte;2008-01-31;3467.76498656
NE;Nordeste;2008-01-31;7463.33828763
S;Sul;2008-01-31;8754.51552419
SE;Sudeste/Centro-Oeste;2008-01-31;31190.80647043
N;Norte;2008-02-29;3533.2728319
NE;Nordeste;2008-02-29;7497.81776437
S;Sul;2008-02-29;9004.06011494
SE;Sudeste/Centro-Oeste;2008-02-29;31503.22244971
N;Norte;2008-03-31;3556.94329301
NE;Nordeste;2008-03-31;7385.14950269
S;Sul;2008-03-31;8769.57395161
SE;Sudeste/Centro-Oeste;2008-03-31;32245.93611559
N;Norte;2008-04-30;3605.88281944
NE;Nordeste;2008-04-30;7473.69166667
S;Sul;2008-04-30;8537.26197222
SE;Sudeste/Centro-Oeste;2008-04-30;32252.52808333
N;Norte;2008-05-31;3641.96294355
NE;Nordeste;2008-05-31;7466.56900538
S;Sul;2008-05-31;8008.60774597
SE;Sudeste/Centro-Oeste;2008-05-31;30832.63399194
N;Norte;2008-06-30;3633.811375
NE;Nordeste;2008-06-30;7227.84879167
S;Sul;2008-06-30;8278.49803333
SE;Sudeste/Centro-Oeste;2008-06-30;31221.21134722
N;Norte;2008-07-31;3624.53110215
NE;Nordeste;2008-07-31;7160.8566129
S;Sul;2008-07-31;8373.80671909
SE;Sudeste/Centro-Oeste;2008-07-31;31335.82005376
N;Norte;2008-08-31;3693.58685484
NE;Nordeste;2008-08-31;7373.48129032
S;Sul;2008-08-31;8239.52883602
SE;Sudeste/Centro-Oeste;2008-08-31;32320.3521371
N;Norte;2008-09-30;3741.49261111
NE;Nordeste;2008-09-30;7661.38690278
S;Sul;2008-09-30;8239.57788889
SE;Sudeste/Centro-Oeste;2008-09-30;32087.30625
N;Norte;2008-10-31;3744.64068145
NE;Nordeste;2008-10-31;7806.0368078
S;Sul;2008-10-31;8333.54767473
SE;Sudeste/Centro-Oeste;2008-10-31;32914.4445672
N;Norte;2008-11-30;3692.19043056
NE;Nordeste;2008-11-30;7835.02543333
S;Sul;2008-11-30;8352.763875
SE;Sudeste/Centro-Oeste;2008-11-30;30936.54510833
N;Norte;2008-12-31;3619.02916667
NE;Nordeste;2008-12-31;7353.98135753
S;Sul;2008-12-31;8248.51172043
SE;Sudeste/Centro-Oeste;2008-12-31;28845.63350806
N;Norte;2009-01-31;3569.12939516
NE;Nordeste;2009-01-31;7294.52623656
S;Sul;2009-01-31;8344.88953086
SE;Sudeste/Centro-Oeste;2009-01-31;29582.48946237
N;Norte;2009-02-28;3483.24534226
NE;Nordeste;2009-02-28;7366.75129464
S;Sul;2009-02-28;8933.43686607
SE;Sudeste/Centro-Oeste;2009-02-28;31328.50043155
N;Norte;2009-03-31;3570.14533602
NE;Nordeste;2009-03-31;7612.01887097
S;Sul;2009-03-31;9095.49118683
SE;Sudeste/Centro-Oeste;2009-03-31;32278.24798387
N;Norte;2009-04-30;3552.64280556
NE;Nordeste;2009-04-30;7349.418125
S;Sul;2009-04-30;8537.68121111
SE;Sudeste/Centro-Oeste;2009-04-30;30176.03961111
N;Norte;2009-05-31;3539.46846774
NE;Nordeste;2009-05-31;7123.15169355
S;Sul;2009-05-31;8199.38976882
SE;Sudeste/Centro-Oeste;2009-05-31;29781.37087366
N;Norte;2009-06-30;3623.45733333
NE;Nordeste;2009-06-30;7095.80025
S;Sul;2009-06-30;8260.60262778
SE;Sudeste/Centro-Oeste;2009-06-30;29069.17641667
N;Norte;2009-07-31;3568.44927419
NE;Nordeste;2009-07-31;7212.78768817
S;Sul;2009-07-31;8199.56553763
SE;Sudeste/Centro-Oeste;2009-07-31;30106.69580645
N;Norte;2009-08-31;3587.15805108
NE;Nordeste;2009-08-31;7328.16283602
S;Sul;2009-08-31;7984.50284946
SE;Sudeste/Centro-Oeste;2009-08-31;30694.90920699
N;Norte;2009-09-30;3635.32823611
NE;Nordeste;2009-09-30;7744.08645833
S;Sul;2009-09-30;8046.30061111
SE;Sudeste/Centro-Oeste;2009-09-30;31984.10975667
N;Norte;2009-10-31;3610.08875
NE;Nordeste;2009-10-31;7935.48443548
S;Sul;2009-10-31;8176.25438172
SE;Sudeste/Centro-Oeste;2009-10-31;31928.34540323
N;Norte;2009-11-30;3651.67584722
NE;Nordeste;2009-11-30;7959.13020833
S;Sul;2009-11-30;8724.0385
SE;Sudeste/Centro-Oeste;2009-11-30;33636.32336111
N;Norte;2009-12-31;3660.20676075
NE;Nordeste;2009-12-31;7999.65298387
S;Sul;2009-12-31;8581.27477151
SE;Sudeste/Centro-Oeste;2009-12-31;32458.13728495
N;Norte;2010-01-31;3713.62200253
NE;Nordeste;2010-01-31;7971.63021505
S;Sul;2010-01-31;8892.73050639
SE;Sudeste/Centro-Oeste;2010-01-31;33574.70875512
N;Norte;2010-02-28;3806.76717262
NE;Nordeste;2010-02-28;8289.27480655
S;Sul;2010-02-28;9626.3524628
SE;Sudeste/Centro-Oeste;2010-02-28;35293.77572917
N;Norte;2010-03-31;3907.49573925
NE;Nordeste;2010-03-31;8579.17662634
S;Sul;2010-03-31;9445.44724462
SE;Sudeste/Centro-Oeste;2010-03-31;34749.56596774
N;Norte;2010-04-30;3839.54629167
NE;Nordeste;2010-04-30;8174.59404028
S;Sul;2010-04-30;8621.87316667
SE;Sudeste/Centro-Oeste;2010-04-30;32864.08452778
N;Norte;2010-05-31;3887.54451613
NE;Nordeste;2010-05-31;8312.15887806
S;Sul;2010-05-31;8236.91825269
SE;Sudeste/Centro-Oeste;2010-05-31;32240.64502688
N;Norte;2010-06-30;3792.42
NE;Nordeste;2010-06-30;8008.55398611
S;Sul;2010-06-30;8467.04068056
SE;Sudeste/Centro-Oeste;2010-06-30;31891.99583333
N;Norte;2010-07-31;3777.02619624
NE;Nordeste;2010-07-31;7846.88787634
S;Sul;2010-07-31;8587.48844086
SE;Sudeste/Centro-Oeste;2010-07-31;32437.61037634
N;Norte;2010-08-31;3861.2847043
NE;Nordeste;2010-08-31;7746.28005376
S;Sul;2010-08-31;8594.90401882
SE;Sudeste/Centro-Oeste;2010-08-31;32875.82623656
N;Norte;2010-09-30;3938.01529167
NE;Nordeste;2010-09-30;8001.389125
S;Sul;2010-09-30;8595.99370833
SE;Sudeste/Centro-Oeste;2010-09-30;34035.60838889
N;Norte;2010-10-31;3897.17361559
NE;Nordeste;2010-10-31;8361.32854839
S;Sul;2010-10-31;8530.57856183
SE;Sudeste/Centro-Oeste;2010-10-31;33160.57775538
N;Norte;2010-11-30;3902.77648611
NE;Nordeste;2010-11-30;8321.02244444
S;Sul;2010-11-30;9071.59111944
SE;Sudeste/Centro-Oeste;2010-11-30;33427.03229167
N;Norte;2010-12-31;3851.78771505
NE;Nordeste;2010-12-31;8088.36200269
S;Sul;2010-12-31;9135.26388441
SE;Sudeste/Centro-Oeste;2010-12-31;34495.10362903
N;Norte;2011-01-31;3793.57444892
NE;Nordeste;2011-01-31;7974.0574328
S;Sul;2011-01-31;9779.27721774
SE;Sudeste/Centro-Oeste;2011-01-31;34868.97982527
N;Norte;2011-02-28;3863.92309524
NE;Nordeste;2011-02-28;8087.93626488
S;Sul;2011-02-28;9969.08660714
SE;Sudeste/Centro-Oeste;2011-02-28;37140.59492738
N;Norte;2011-03-31;3938.35569892
NE;Nordeste;2011-03-31;8291.74885753
S;Sul;2011-03-31;9626.85395161
SE;Sudeste/Centro-Oeste;2011-03-31;34960.89962786
N;Norte;2011-04-30;4035.88552778
NE;Nordeste;2011-04-30;8203.18718056
S;Sul;2011-04-30;8916.47955556
SE;Sudeste/Centro-Oeste;2011-04-30;34864.42802778
N;Norte;2011-05-31;4098.87145161
NE;Nordeste;2011-05-31;8002.63827957
S;Sul;2011-05-31;8847.44869624
SE;Sudeste/Centro-Oeste;2011-05-31;33298.77739247
N;Norte;2011-06-30;4034.10938889
NE;Nordeste;2011-06-30;7924.34065278
S;Sul;2011-06-30;8891.63956944
SE;Sudeste/Centro-Oeste;2011-06-30;32613.02861111
N;Norte;2011-07-31;3941.8984543
NE;Nordeste;2011-07-31;7866.23369624
S;Sul;2011-07-31;8997.67701613
SE;Sudeste/Centro-Oeste;2011-07-31;33097.3949328
N;Norte;2011-08-31;4078.85215054
NE;Nordeste;2011-08-31;8138.98487903
S;Sul;2011-08-31;9303.11444892
SE;Sudeste/Centro-Oeste;2011-08-31;34757.33909946
N;Norte;2011-09-30;4127.86506944
NE;Nordeste;2011-09-30;8279.48077778
S;Sul;2011-09-30;9115.00054167
SE;Sudeste/Centro-Oeste;2011-09-30;34834.43644444
N;Norte;2011-10-31;4062.88509409
NE;Nordeste;2011-10-31;8385.03137097
S;Sul;2011-10-31;9260.92900538
SE;Sudeste/Centro-Oeste;2011-10-31;34539.98196237
N;Norte;2011-11-30;4041.61705556
NE;Nordeste;2011-11-30;8408.74766667
S;Sul;2011-11-30;9591.61755556
SE;Sudeste/Centro-Oeste;2011-11-30;34742.62226389
N;Norte;2011-12-31;4067.69942204
NE;Nordeste;2011-12-31;8525.96974462
S;Sul;2011-12-31;9822.0983871
SE;Sudeste/Centro-Oeste;2011-12-31;35128.04676075
N;Norte;2012-01-31;4004.55168011
NE;Nordeste;2012-01-31;8608.90058333
S;Sul;2012-01-31;10171.39665995
SE;Sudeste/Centro-Oeste;2012-01-31;35193.3249328
N;Norte;2012-02-29;4072.51933908
NE;Nordeste;2012-02-29;8541.47306034
S;Sul;2012-02-29;10993.15908333
SE;Sudeste/Centro-Oeste;2012-02-29;37839.21125
N;Norte;2012-03-31;4149.51076613
NE;Nordeste;2012-03-31;8915.61448387
S;Sul;2012-03-31;10638.10927285
